"key","en - English","hi - हिन्दी","ta - தமிழ்","te - తెలుగు","kn - ಕನ್ನಡ","ml - മലയാളം","mr - मराठी","bn - বাংলা","gu - ગુજરાતી","pa - ਪੰਜਾਬੀ"
"form.your_answer","Your answer","आपका उत्तर","உங்கள் பதில்","మీ సమాధానం","ನಿಮ್ಮ ಉತ್ತರ","നിങ്ങളുടെ ഉത്തരം","तुमचे उत्तर","আপনার উত্তর","તમારો જવાબ","ਤੁਹਾਡਾ ਜਵਾਬ"
"form.grade_level","Grade level","कक्षा स्तर","வகுப்பு நிலை","తరగతి స్థాయి","ತರಗತಿ ಮಟ್ಟ","ഗ്രേഡ് ലെവൽ","इयत्ता स्तर","শ্রেণি স্তর","ધોરણ સ્તર","ਜਮਾਤ ਪੱਧਰ"
"form.class_name","Class name","कक्षा का नाम","வகுப்பின் பெயர்","తరగతి పేరు","ತರಗತಿಯ ಹೆಸರು","ക്ലാസിന്റെ പേര്","इयत्तेचे नाव","শ্রেণির নাম","વર્ગનું નામ","ਜਮਾਤ ਦਾ ਨਾਮ"
"form.lesson_id","Lesson ID","पाठ ID","பாட ID","పాఠం ID","ಪಾಠ ID","പാഠം ID","पाठ ID","পাঠ ID","પાઠ ID","ਪਾਠ ID"
"form.due_date","Due date","नियत तिथि","காலக்கெடு","గడువు తేదీ","ಗಡುವು ದಿನಾಂಕ","അവസാന തീയതി","अंतिम तारीख","শেষ তারিখ","છેલ્લી તારીખ","ਅੰਤਮ ਮਿਤੀ"
"form.all_classes","All classes","सभी कक्षाएँ","அனைத்து வகுப்புகள்","అన్ని తరగతులు","ಎಲ್ಲಾ ತರಗತಿಗಳು","എല്ലാ ക്ലാസുകളും","सर्व इयत्ता","সমস্ত শ্রেণি","બધા વર્ગ","ਸਾਰੀਆਂ ਜਮਾਤਾਂ"
"form.all_boards","All boards","सभी बोर्ड","அனைத்து வாரியங்கள்","అన్ని బోర్డులు","ಎಲ್ಲಾ ಬೋರ್ಡ್‌ಗಳು","എല്ലാ ബോർഡുകളും","सर्व बोर्ड","সমস্ত বোর্ড","બધા બોર્ડ","ਸਾਰੇ ਬੋਰਡ"
"form.all_subjects","All subjects","सभी विषय","அனைத்து பாடங்கள்","అన్ని విషయాలు","ಎಲ್ಲಾ ವಿಷಯಗಳು","എല്ലാ വിഷയങ്ങളും","सर्व विषय","সমস্ত বিষয়","બધા વિષય","ਸਾਰੇ ਵਿਸ਼ੇ"
"form.coaching_institute","Coaching institute","कोचिंग संस्थान","பயிற்சி நிறுவனம்","కోచింగ్ సంస్థ","ತರಬೇತಿ ಸಂಸ್ಥೆ","കോച്ചിംഗ് സ്ഥാപനം","कोचिंग संस्था","কোচিং প্রতিষ্ঠান","કોચિંગ સંસ્થા","ਕੋਚਿੰਗ ਸੰਸਥਾ"
"action.create_assignment","Create assignment","असाइनमेंट बनाएँ","பணியை உருவாக்கு","అసైన్‌మెంట్ సృష్టించండి","ನಿಯೋಜನೆ ರಚಿಸಿ","അസൈൻമെൻ്റ് സൃഷ്ടിക്കുക","असाइनमेंट तयार करा","অ্যাসাইনমেন্ট তৈরি করুন","અસાઇનમેન્ટ બનાવો","ਅਸਾਈਨਮੈਂਟ ਬਣਾਓ"
"action.create_exam","Create exam","परीक्षा बनाएँ","தேர்வை உருவாக்கு","పరీక్షను సృష్టించండి","ಪರೀಕ್ಷೆ ರಚಿಸಿ","പരീക്ഷ സൃഷ്ടിക്കുക","परीक्षा तयार करा","পরীক্ষা তৈরি করুন","પરીક્ષા બનાવો","ਇਮਤਿਹਾਨ ਬਣਾਓ"
"action.active_exam_pack","Active Exam Pack","सक्रिय परीक्षा पैक","செயலில் உள்ள தேர்வு தொகுப்பு","క్రియాశీల పరీక్షా ప్యాక్","ಸಕ್ರಿಯ ಪರೀಕ್ಷಾ ಪ್ಯಾಕ್","സജീവ പരീക്ഷാ പാക്ക്","सक्रिय परीक्षा पॅक","সক্রিয় পরীক্ষা প্যাক","સક્રિય પરીક્ષા પેક","ਸਰਗਰਮ ਇਮਤਿਹਾਨ ਪੈਕ"
"action.weak_topics","Weak topics needing revision","कमज़ोर विषय जिन्हें संशोधन की आवश्यकता है","திருத்தம் தேவைப்படும் பலவீன தலைப்புகள்","పునఃసమీక్ష అవసరమైన బలహీన అంశాలు","ಪುನರಾವಲೋಕನ ಅಗತ್ಯವಿರುವ ದುರ್ಬಲ ವಿಷಯಗಳು","പുനഃപരിശോധന ആവശ്യമുള്ള ദുർബല വിഷയങ്ങൾ","पुनरावलोकनाची गरज असलेले कमकुवत विषय","পুনর্বিবেচনা প্রয়োজন এমন দুর্বল বিষয়","પુનરાવલોકન જરૂરી નબળા વિષયો","ਮੁੜ-ਵਿਚਾਰ ਲੋੜੀਂਦੇ ਕਮਜ਼ੋਰ ਵਿਸ਼ੇ"
"curator.title","Concept-Video Curator","Concept-Video क्यूरेटर","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator","Concept-Video Curator"
"curator.stats_title","Concept-video curator stats","Concept-video क्यूरेटर आँकड़े","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats","Concept-video curator stats"
"curator.queue","Curator queue","क्यूरेटर कतार","Curator queue","Curator queue","Curator queue","Curator queue","Curator queue","Curator queue","Curator queue","Curator queue"
"curator.tier_filter","Tier","स्तर","Tier","Tier","Tier","Tier","Tier","Tier","Tier","Tier"
"curator.tier_channel_seed","channel_seed (default queue)","channel_seed (डिफ़ॉल्ट कतार)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)","channel_seed (default queue)"
"curator.tier_verified","verified (already done)","verified (पूर्ण)","verified (already done)","verified (already done)","verified (already done)","verified (already done)","verified (already done)","verified (already done)","verified (already done)","verified (already done)"
"curator.tier_ai_fallback","ai_fallback (rejected / placeholder)","ai_fallback (अस्वीकृत / प्लेसहोल्डर)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)","ai_fallback (rejected / placeholder)"
"curator.refresh","Refresh","रिफ़्रेश","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh"
"curator.search_url","YouTube search","YouTube खोज","YouTube search","YouTube search","YouTube search","YouTube search","YouTube search","YouTube search","YouTube search","YouTube search"
"curator.btn_update","Update only","केवल अपडेट","Update only","Update only","Update only","Update only","Update only","Update only","Update only","Update only"
"curator.btn_verify","Update & Verify","अपडेट और सत्यापित करें","Update & Verify","Update & Verify","Update & Verify","Update & Verify","Update & Verify","Update & Verify","Update & Verify","Update & Verify"
"curator.btn_reject","Reject (move to ai_fallback)","अस्वीकार करें (ai_fallback में भेजें)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)","Reject (ai_fallback)"
"curator.new_title","New title","नया शीर्षक","New title","New title","New title","New title","New title","New title","New title","New title"
"curator.new_url","New URL","नया URL","New URL","New URL","New URL","New URL","New URL","New URL","New URL","New URL"
"curator.url_placeholder","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=...","https://www.youtube.com/watch?v=..."
"curator.current_title","Current title","वर्तमान शीर्षक","Current title","Current title","Current title","Current title","Current title","Current title","Current title","Current title"
"curator.current_url","Current URL","वर्तमान URL","Current URL","Current URL","Current URL","Current URL","Current URL","Current URL","Current URL","Current URL"
"curator.note","Note","टिप्पणी","Note","Note","Note","Note","Note","Note","Note","Note"
"curator.pending","pending","लंबित","pending","pending","pending","pending","pending","pending","pending","pending"
"curator.window","Window","अवधि","Window","Window","Window","Window","Window","Window","Window","Window"
"curator.window_7d","last 7 days","पिछले 7 दिन","last 7 days","last 7 days","last 7 days","last 7 days","last 7 days","last 7 days","last 7 days","last 7 days"
"curator.window_30d","last 30 days","पिछले 30 दिन","last 30 days","last 30 days","last 30 days","last 30 days","last 30 days","last 30 days","last 30 days","last 30 days"
"curator.window_90d","last 90 days","पिछले 90 दिन","last 90 days","last 90 days","last 90 days","last 90 days","last 90 days","last 90 days","last 90 days","last 90 days"
"curator.window_1y","last year","पिछला वर्ष","last year","last year","last year","last year","last year","last year","last year","last year"
"curator.verified_in_window","verified in window","अवधि में सत्यापित","verified in window","verified in window","verified in window","verified in window","verified in window","verified in window","verified in window","verified in window"
"curator.updated_in_window","rows updated in window","अवधि में अपडेट किए गए रोज़","rows updated in window","rows updated in window","rows updated in window","rows updated in window","rows updated in window","rows updated in window","rows updated in window","rows updated in window"
"curator.plays_in_window","total plays in window","अवधि में कुल प्ले","total plays in window","total plays in window","total plays in window","total plays in window","total plays in window","total plays in window","total plays in window","total plays in window"
"curator.total_catalog","total catalog rows","कुल कैटलॉग पंक्तियाँ","total catalog rows","total catalog rows","total catalog rows","total catalog rows","total catalog rows","total catalog rows","total catalog rows","total catalog rows"
"curator.freshness_label","Verification freshness","सत्यापन की ताज़गी","Verification freshness","Verification freshness","Verification freshness","Verification freshness","Verification freshness","Verification freshness","Verification freshness","Verification freshness"
"curator.newest_verification","Newest verification","नवीनतम सत्यापन","Newest verification","Newest verification","Newest verification","Newest verification","Newest verification","Newest verification","Newest verification","Newest verification"
"curator.oldest_verification","Oldest verification still in catalog","कैटलॉग में सबसे पुराना सत्यापन","Oldest verification","Oldest verification","Oldest verification","Oldest verification","Oldest verification","Oldest verification","Oldest verification","Oldest verification"
"footer.terms","Terms of Service","सेवा की शर्तें","சேவை விதிமுறைகள்","సేవా నిబంధనలు","ಸೇವಾ ನಿಯಮಗಳು","സേവന നിബന്ധനകൾ","सेवा अटी","সেবার শর্তাবলী","સેવાની શરતો","ਸੇਵਾ ਸ਼ਰਤਾਂ"
"footer.privacy","Privacy Policy","गोपनीयता नीति","தனியுரிமை கொள்கை","గోప్యతా విధానం","ಗೌಪ್ಯತಾ ನೀತಿ","സ്വകാര്യതാ നയം","गोपनीयता धोरण","গোপনীয়তা নীতি","ગોપનીયતા નીતિ","ਨਿੱਜਤਾ ਨੀਤੀ"
"footer.community","Exam community","परीक्षा समुदाय","தேர்வு சமூகம்","పరీక్షా సంఘం","ಪರೀಕ್ಷಾ ಸಮುದಾಯ","പരീക്ഷാ സമൂഹം","परीक्षा समुदाय","পরীক্ষা সম্প্রদায়","પરીક્ષા સમુદાય","ਇਮਤਿਹਾਨ ਭਾਈਚਾਰਾ"
"home.hero_title","Study Smarter with AI","AI के साथ होशियारी से पढ़ें","AI உடன் சிறப்பாகப் படியுங்கள்","AI తో తెలివిగా చదవండి","AI ಜೊತೆ ಜಾಣ್ಮೆಯಿಂದ ಕಲಿಯಿರಿ","AI ഉപയോഗിച്ച് മിടുക്കോടെ പഠിക്കൂ","AI सह हुशारीने अभ्यास करा","AI দিয়ে স্মার্টভাবে পড়ুন","AI સાથે હોશિયારીથી ભણો","AI ਨਾਲ ਸਿਆਣਪ ਨਾਲ ਪੜ੍ਹੋ"
"home.start_free","Start for Free","मुफ़्त में शुरू करें","இலவசமாகத் தொடங்குங்கள்","ఉచితంగా ప్రారంభించండి","ಉಚಿತವಾಗಿ ಪ್ರಾರಂಭಿಸಿ","സൗജന്യമായി ആരംഭിക്കൂ","विनामूल्य सुरू करा","বিনামূল্যে শুরু করুন","મફતમાં શરૂ કરો","ਮੁਫ਼ਤ ਵਿੱਚ ਸ਼ੁਰੂ ਕਰੋ"
"home.watch_demo","Watch Demo","डेमो देखें","டெமோவைப் பாருங்கள்","డెమో చూడండి","ಡೆಮೋ ನೋಡಿ","ഡെമോ കാണുക","डेमो पहा","ডেমো দেখুন","ડેમો જુઓ","ਡੈਮੋ ਦੇਖੋ"
"home.how_it_works","How PadhaiApp works","PadhaiApp कैसे काम करता है","PadhaiApp எவ்வாறு செயல்படுகிறது","PadhaiApp ఎలా పనిచేస్తుంది","PadhaiApp ಹೇಗೆ ಕೆಲಸ ಮಾಡುತ್ತದೆ","PadhaiApp എങ്ങനെ പ്രവർത്തിക്കുന്നു","PadhaiApp कसे कार्य करते","PadhaiApp কীভাবে কাজ করে","PadhaiApp કેવી રીતે કામ કરે છે","PadhaiApp ਕਿਵੇਂ ਕੰਮ ਕਰਦਾ ਹੈ"
"home.everything","Everything you need to crack your exam","अपनी परीक्षा पास करने के लिए ज़रूरी सब कुछ","உங்கள் தேர்வில் வெற்றிபெற தேவையான அனைத்தும்","మీ పరీక్షలో నెగ్గడానికి కావలసినదంతా","ನಿಮ್ಮ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಗೆಲ್ಲಲು ಬೇಕಾದ ಎಲ್ಲವೂ","നിങ്ങളുടെ പരീക്ഷ ജയിക്കാൻ വേണ്ടതെല്ലാം","तुमची परीक्षा उत्तीर्ण होण्यासाठी आवश्यक सर्वकाही","আপনার পরীক্ষায় সফল হতে যা যা দরকার","તમારી પરીક્ષા પાસ કરવા માટે જરૂરી બધું","ਤੁਹਾਡੀ ਪ੍ਰੀਖਿਆ ਪਾਸ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਸਭ ਕੁਝ"
"home.step_snap","Snap a Page","पेज की फ़ोटो लें","ஒரு பக்கத்தைப் படம் எடுங்கள்","ఒక పేజీని ఫోటో తీయండి","ಒಂದು ಪುಟದ ಫೋಟೋ ತೆಗೆಯಿರಿ","ഒരു പേജ് ഫോട്ടോ എടുക്കൂ","पानाचा फोटो काढा","একটি পৃষ্ঠার ছবি তুলুন","પાનાનો ફોટો લો","ਪੰਨੇ ਦੀ ਫੋਟੋ ਲਓ"
"home.step_video","Get a Video Lesson","वीडियो पाठ पाएं","வீடியோ பாடம் பெறுங்கள்","వీడియో పాఠం పొందండి","ವೀಡಿಯೋ ಪಾಠ ಪಡೆಯಿರಿ","വീഡിയോ പാഠം നേടൂ","व्हिडिओ पाठ मिळवा","ভিডিও পাঠ পান","વિડિયો પાઠ મેળવો","ਵੀਡੀਓ ਪਾਠ ਪ੍ਰਾਪਤ ਕਰੋ"
"home.start_today","Start learning for free today","आज ही मुफ़्त में सीखना शुरू करें","இன்றே இலவசமாகக் கற்கத் தொடங்குங்கள்","ఈరోజే ఉచితంగా నేర్చుకోవడం ప్రారంభించండి","ಇಂದೇ ಉಚಿತವಾಗಿ ಕಲಿಯಲು ಪ್ರಾರಂಭಿಸಿ","ഇന്നുതന്നെ സൗജന്യമായി പഠിക്കാൻ തുടങ്ങൂ","आजच विनामूल्य शिकायला सुरुवात करा","আজই বিনামূল্যে শেখা শুরু করুন","આજે જ મફતમાં શીખવાનું શરૂ કરો","ਅੱਜ ਹੀ ਮੁਫ਼ਤ ਵਿੱਚ ਸਿੱਖਣਾ ਸ਼ੁਰੂ ਕਰੋ"
"home.concept_videos","Concept videos","कॉन्सेप्ट वीडियो","கருத்து வீடியோக்கள்","కాన్సెప్ట్ వీడియోలు","ಕಾನ್ಸೆಪ್ಟ್ ವೀಡಿಯೋಗಳು","കൺസെപ്റ്റ് വീഡിയോകൾ","संकल्पना व्हिडिओ","ধারণা ভিডিও","કન્સેપ્ટ વિડિયો","ਸੰਕਲਪ ਵੀਡੀਓ"
"home.browse_packs","Browse exam packs","परीक्षा पैक ब्राउज़ करें","தேர்வு தொகுப்புகளை உலாவுங்கள்","పరీక్షా ప్యాక్‌లను బ్రౌజ్ చేయండి","ಪರೀಕ್ಷಾ ಪ್ಯಾಕ್‌ಗಳನ್ನು ಬ್ರೌಸ್ ಮಾಡಿ","പരീക്ഷാ പാക്കുകൾ ബ്രൗസ് ചെയ്യൂ","परीक्षा पॅक ब्राउझ करा","পরীক্ষা প্যাক ব্রাউজ করুন","પરીક્ષા પેક બ્રાઉઝ કરો","ਪ੍ਰੀਖਿਆ ਪੈਕ ਬ੍ਰਾਊਜ਼ ਕਰੋ"
"notif.mark_all_read","Mark all read","सभी को पढ़ा हुआ चिह्नित करें","அனைத்தையும் படித்ததாகக் குறி","అన్నింటిని చదివినట్లు గుర్తించు","ಎಲ್ಲವನ್ನೂ ಓದಿದೆ ಎಂದು ಗುರುತಿಸಿ","എല്ലാം വായിച്ചതായി അടയാളപ്പെടുത്തുക","सर्व वाचले म्हणून चिन्हांकित करा","সব পঠিত হিসেবে চিহ্নিত করুন","બધાને વાંચ્યા તરીકે ચિહ્નિત કરો","ਸਭ ਨੂੰ ਪੜ੍ਹਿਆ ਵਜੋਂ ਨਿਸ਼ਾਨ ਲਗਾਓ"
"dash.welcome_back","Welcome back","वापसी पर स्वागत है","மீண்டும் வரவேற்கிறோம்","తిరిగి స్వాగతం","ಮರಳಿ ಸ್ವಾಗತ","വീണ്ടും സ്വാഗതം","पुन्हा स्वागत आहे","আবার স্বাগতম","ફરી સ્વાગત છે","ਮੁੜ ਸੁਆਗਤ ਹੈ"
"home.study_plan","Study Plan","अध्ययन योजना","படிப்புத் திட்டம்","అధ్యయన ప్రణాళిక","ಅಧ್ಯಯನ ಯೋಜನೆ","പഠന പദ്ധതി","अभ्यास योजना","অধ্যয়ন পরিকল্পনা","અભ્યાસ યોજના","ਅਧਿਐਨ ਯੋਜਨਾ"
"home.continue_learning","Continue Learning","सीखना जारी रखें","தொடர்ந்து கற்கவும்","నేర్చుకోవడం కొనసాగించండి","ಕಲಿಕೆಯನ್ನು ಮುಂದುವರಿಸಿ","പഠനം തുടരുക","शिकणे सुरू ठेवा","শেখা চালিয়ে যান","શીખવાનું ચાલુ રાખો","ਸਿੱਖਣਾ ਜਾਰੀ ਰੱਖੋ"
"home.resume_next","Resume next planned lesson","अगला नियोजित पाठ फिर से शुरू करें","அடுத்த திட்டமிட்ட பாடத்தைத் தொடரவும்","తదుపరి ప్రణాళికాబద్ధ పాఠాన్ని కొనసాగించండి","ಮುಂದಿನ ಯೋಜಿತ ಪಾಠವನ್ನು ಮುಂದುವರಿಸಿ","അടുത്ത ആസൂത്രിത പാഠം തുടരുക","पुढील नियोजित पाठ सुरू ठेवा","পরবর্তী পরিকল্পিত পাঠ আবার শুরু করুন","આગલો આયોજિત પાઠ ફરી શરૂ કરો","ਅਗਲਾ ਯੋਜਨਾਬੱਧ ਪਾਠ ਮੁੜ ਸ਼ੁਰੂ ਕਰੋ"
"home.select_goal","Select a goal to activate","सक्रिय करने के लिए एक लक्ष्य चुनें","செயல்படுத்த ஒரு இலக்கைத் தேர்ந்தெடுக்கவும்","సక్రియం చేయడానికి ఒక లక్ష్యాన్ని ఎంచుకోండి","ಸಕ್ರಿಯಗೊಳಿಸಲು ಒಂದು ಗುರಿ ಆಯ್ಕೆಮಾಡಿ","സജീവമാക്കാൻ ഒരു ലക്ഷ്യം തിരഞ്ഞെടുക്കുക","सक्रिय करण्यासाठी एक उद्दिष्ट निवडा","সক্রিয় করতে একটি লক্ষ্য নির্বাচন করুন","સક્રિય કરવા માટે એક ધ્યેય પસંદ કરો","ਸਰਗਰਮ ਕਰਨ ਲਈ ਇੱਕ ਟੀਚਾ ਚੁਣੋ"
"home.curated_videos","Curated concept videos","चुनिंदा कॉन्सेप्ट वीडियो","தேர்ந்தெடுக்கப்பட்ட கருத்து வீடியோக்கள்","ఎంపిక చేసిన కాన్సెప్ట్ వీడియోలు","ಆಯ್ದ ಕಾನ್ಸೆಪ್ಟ್ ವೀಡಿಯೋಗಳು","തിരഞ്ഞെടുത്ത കൺസെപ്റ്റ് വീഡിയോകൾ","निवडक संकल्पना व्हिडिओ","নির্বাচিত ধারণা ভিডিও","પસંદ કરેલા કન્સેપ્ટ વિડિયો","ਚੁਣੇ ਹੋਏ ਸੰਕਲਪ ਵੀਡੀਓ"
"home.verified_by_educators","Verified by educators","शिक्षकों द्वारा सत्यापित","கல்வியாளர்களால் சரிபார்க்கப்பட்டது","ఉపాధ్యాయులచే ధృవీకరించబడింది","ಶಿಕ್ಷಕರಿಂದ ಪರಿಶೀಲಿಸಲಾಗಿದೆ","അധ്യാപകർ പരിശോധിച്ചുറപ്പിച്ചത്","शिक्षकांनी पडताळलेले","শিক্ষকদের দ্বারা যাচাইকৃত","શિક્ષકો દ્વારા ચકાસાયેલ","ਸਿੱਖਿਅਕਾਂ ਦੁਆਰਾ ਪੁਸ਼ਟੀ ਕੀਤੀ"
"cta.try_it","Try it","आज़माएं","முயற்சிக்கவும்","ప్రయత్నించండి","ಪ್ರಯತ್ನಿಸಿ","പരീക്ഷിക്കൂ","वापरून पहा","চেষ্টা করুন","અજમાવો","ਅਜ਼ਮਾਓ"
"common.coming_soon","Coming soon","जल्द आ रहा है","விரைவில் வருகிறது","త్వరలో వస్తోంది","ಶೀಘ್ರದಲ್ಲೇ ಬರಲಿದೆ","ഉടൻ വരുന്നു","लवकरच येत आहे","শীঘ্রই আসছে","ટૂંક સમયમાં આવી રહ્યું છે","ਜਲਦੀ ਆ ਰਿਹਾ ਹੈ"
"home.open_studio","Open Study Studio","स्टडी स्टूडियो खोलें","ஸ்டடி ஸ்டுடியோவைத் திற","స్టడీ స్టూడియో తెరవండి","ಸ್ಟಡಿ ಸ್ಟುಡಿಯೋ ತೆರೆಯಿರಿ","സ്റ്റഡി സ്റ്റുഡിയോ തുറക്കുക","स्टडी स्टुडिओ उघडा","স্টাডি স্টুডিও খুলুন","સ્ટડી સ્ટુડિયો ખોલો","ਸਟੱਡੀ ਸਟੂਡੀਓ ਖੋਲ੍ਹੋ"
"home.ask_tutor_citations","Ask the AI Tutor with citations","संदर्भ के साथ AI ट्यूटर से पूछें","மேற்கோள்களுடன் AI ஆசிரியரிடம் கேளுங்கள்","ఉల్లేఖనాలతో AI ట్యూటర్‌ని అడగండి","ಉಲ್ಲೇಖಗಳೊಂದಿಗೆ AI ಶಿಕ್ಷಕರನ್ನು ಕೇಳಿ","ഉദ്ധരണികളോടെ AI അദ്ധ്യാപകനോട് ചോദിക്കുക","संदर्भांसह AI शिक्षकाला विचारा","উদ্ধৃতি সহ AI শিক্ষককে জিজ্ঞাসা করুন","સંદર્ભો સાથે AI ટ્યુટરને પૂછો","ਹਵਾਲਿਆਂ ਨਾਲ AI ਅਧਿਆਪਕ ਨੂੰ ਪੁੱਛੋ"
"support.whatsapp_chat","Open WhatsApp support chat","व्हाट्सएप सहायता चैट खोलें","வாட்ஸ்அப் ஆதரவு அரட்டையைத் திற","వాట్సాప్ సహాయ చాట్ తెరవండి","ವಾಟ್ಸ್ಆ್ಯಪ್ ಬೆಂಬಲ ಚಾಟ್ ತೆರೆಯಿರಿ","വാട്ട്സ്ആപ്പ് പിന്തുണ ചാറ്റ് തുറക്കുക","व्हॉट्सअ‍ॅप सहाय्य चॅट उघडा","হোয়াটসঅ্যাপ সহায়তা চ্যাট খুলুন","વોટ્સએપ સહાય ચેટ ખોલો","ਵਟਸਐਪ ਸਹਾਇਤਾ ਚੈਟ ਖੋਲ੍ਹੋ"
"support.call_pathshala","Call AI Pathshala support","AI पाठशाला सहायता को कॉल करें","AI பாதஶாலா ஆதரவை அழைக்கவும்","AI పాఠశాల సహాయానికి కాల్ చేయండి","AI ಪಾಠಶಾಲಾ ಬೆಂಬಲಕ್ಕೆ ಕರೆ ಮಾಡಿ","AI പാഠശാല പിന്തുണയെ വിളിക്കുക","AI पाठशाला सहाय्याला कॉल करा","AI পাঠশালা সহায়তায় কল করুন","AI પાઠશાલા સહાયને કૉલ કરો","AI ਪਾਠਸ਼ਾਲਾ ਸਹਾਇਤਾ ਨੂੰ ਕਾਲ ਕਰੋ"
"land.photo_to_video","From textbook photo to video lesson in minutes","पाठ्यपुस्तक की फ़ोटो से मिनटों में वीडियो पाठ","பாடப்புத்தக படத்திலிருந்து நிமிடங்களில் வீடியோ பாடம்","పాఠ్యపుస్తక ఫోటో నుండి నిమిషాల్లో వీడియో పాఠం","ಪಠ್ಯಪುಸ್ತಕ ಫೋಟೋದಿಂದ ನಿಮಿಷಗಳಲ್ಲಿ ವೀಡಿಯೋ ಪಾಠ","പാഠപുസ്തക ഫോട്ടോയിൽ നിന്ന് മിനിറ്റുകൾക്കുള്ളിൽ വീഡിയോ പാഠം","पाठ्यपुस्तकाच्या फोटोवरून काही मिनिटांत व्हिडिओ पाठ","পাঠ্যবইয়ের ছবি থেকে কয়েক মিনিটে ভিডিও পাঠ","પાઠ્યપુસ્તકના ફોટામાંથી મિનિટોમાં વિડિયો પાઠ","ਪਾਠ-ਪੁਸਤਕ ਦੀ ਫੋਟੋ ਤੋਂ ਮਿੰਟਾਂ ਵਿੱਚ ਵੀਡੀਓ ਪਾਠ"
"land.upload_page","Upload your textbook page or photo","अपनी पाठ्यपुस्तक का पेज या फ़ोटो अपलोड करें","உங்கள் பாடப்புத்தக பக்கம் அல்லது படத்தைப் பதிவேற்றவும்","మీ పాఠ్యపుస్తక పేజీ లేదా ఫోటోను అప్‌లోడ్ చేయండి","ನಿಮ್ಮ ಪಠ್ಯಪುಸ್ತಕ ಪುಟ ಅಥವಾ ಫೋಟೋ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ","നിങ്ങളുടെ പാഠപുസ്തക പേജോ ഫോട്ടോയോ അപ്‌ലോഡ് ചെയ്യുക","तुमचे पाठ्यपुस्तक पान किंवा फोटो अपलोड करा","আপনার পাঠ্যবইয়ের পৃষ্ঠা বা ছবি আপলোড করুন","તમારું પાઠ્યપુસ્તક પાનું અથવા ફોટો અપલોડ કરો","ਆਪਣਾ ਪਾਠ-ਪੁਸਤਕ ਪੰਨਾ ਜਾਂ ਫੋਟੋ ਅੱਪਲੋਡ ਕਰੋ"
"land.choose_lang_exam","Choose your language and exam","अपनी भाषा और परीक्षा चुनें","உங்கள் மொழியையும் தேர்வையும் தேர்ந்தெடுக்கவும்","మీ భాష మరియు పరీక్షను ఎంచుకోండి","ನಿಮ್ಮ ಭಾಷೆ ಮತ್ತು ಪರೀಕ್ಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ","നിങ്ങളുടെ ഭാഷയും പരീക്ഷയും തിരഞ്ഞെടുക്കുക","तुमची भाषा आणि परीक्षा निवडा","আপনার ভাষা ও পরীক্ষা নির্বাচন করুন","તમારી ભાષા અને પરીક્ષા પસંદ કરો","ਆਪਣੀ ਭਾਸ਼ਾ ਅਤੇ ਪ੍ਰੀਖਿਆ ਚੁਣੋ"
"land.watch_personalised","Watch your personalised AI lesson","अपना व्यक्तिगत AI पाठ देखें","உங்கள் தனிப்பயன் AI பாடத்தைப் பாருங்கள்","మీ వ్యక్తిగత AI పాఠాన్ని చూడండి","ನಿಮ್ಮ ವೈಯಕ್ತಿಕ AI ಪಾಠವನ್ನು ನೋಡಿ","നിങ്ങളുടെ വ്യക്തിഗത AI പാഠം കാണുക","तुमचा वैयक्तिक AI पाठ पहा","আপনার ব্যক্তিগত AI পাঠ দেখুন","તમારો વ્યક્તિગત AI પાઠ જુઓ","ਆਪਣਾ ਨਿੱਜੀ AI ਪਾਠ ਦੇਖੋ"
"home.open_exam_hub","Open Exam Hub","एग्ज़ाम हब खोलें","எக்ஸாம் ஹப்பைத் திற","ఎగ్జామ్ హబ్ తెరవండి","ಎಕ್ಸಾಮ್ ಹಬ್ ತೆರೆಯಿರಿ","എക്സാം ഹബ് തുറക്കുക","एग्झाम हब उघडा","এক্সাম হাব খুলুন","એક્ઝામ હબ ખોલો","ਐਗਜ਼ਾਮ ਹੱਬ ਖੋਲ੍ਹੋ"
